domain,is_file_found,is_file_valid,http_status,acknowledgments,canonical,contact,encryption,expires,hiring,policy,preferred_languages,errors
lilly.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://lilly.com/.well-known/security.txt"": x509: certificate is valid for a248.e.akamai.net, *.akamaihd-staging.net, *.akamaihd.net, *.akamaized-staging.net, *.akamaized.net, not lilly.com"
keurigdrpepper.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://keurigdrpepper.com/.well-known/security.txt"": http: server gave HTTP response to HTTPS client"
diamondbackenergy.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://diamondbackenergy.com/.well-known/security.txt"": dial tcp: lookup diamondbackenergy.com on 1.1.1.1:53: no such host"
abbottinvestor.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://abbottinvestor.com/.well-known/security.txt"": dial tcp: lookup abbottinvestor.com on 1.1.1.1:53: no such host"
investor.mcdonalds.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://investor.mcdonalds.com/.well-known/security.txt"": x509: certificate has expired or is not yet valid: current time 2022-08-08T11:42:49+01:00 is after 2018-03-12T23:59:59Z"
bms.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://bms.com/.well-known/security.txt"": x509: certificate signed by unknown authority"
pginvestor.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
stock.walmart.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
mt.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://mt.com/.well-known/security.txt"": x509: certificate signed by unknown authority"
analog.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://analog.com/.well-known/security.txt"": x509: certificate signed by unknown authority"
abc.xyz,false,false,404,,,,,,,,,https://abc.xyz/security.txt file may not exist - HTTP error code: 404
howmet.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://howmet.com/.well-known/security.txt"": x509: certificate is valid for www.howmet.com, www.alcoawheels.com, not howmet.com"
amereninvestors.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
investor.spglobal.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
agilent.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://agilent.com/.well-known/security.txt"": x509: certificate is valid for www.agilent.com, www.agilent.com.cn, not agilent.com"
adobe.com,true,true,200,,https://www.adobe.com/.well-known/security.txt,"https://hackerone.com/adobe, mailto:psirt@adobe.com",https://helpx.adobe.com/security.html/security/key.ug.html,2023-07-27T01:00:00.000Z,https://www.adobe.com/careers.html,https://helpx.adobe.com/security.html/security/policy.ug.html,"en,  ro,  hi",
corning.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://corning.com/.well-known/security.txt"": x509: certificate signed by unknown authority"
sands.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://sands.com/.well-known/security.txt"": x509: certificate is valid for www.venetianmeetings.com, www.venetian.com, www.sandsexpo.com, www.sands.com, www.palazzolasvegas.com, www.palazzo.com, www.clubgrazie.com, www.azurelasvegas.com, venetianmeetings.com, venetian.com, uat.venetian.com, uat.sands.com, uat.palazzo.com, staging.venetian.com, staging.sands.com, staging.palazzo.com, sandsexpo.com, resort.venetian.com, reserve.venetian.com, reserve.palazzo.com, qa.venetian.com, qa.sands.com, qa.palazzo.com, pxs.venetian.com, palazzolasvegas.com, palazzo.com, myoffers.venetian.com, lily.venetian.com, lily-uat.venetian.com, gitlab.venetian.com, forms.venetian.com, floral.venetian.com, clubgrazie.venetian.com, clubgrazie.qa.venetian.com, clubgrazie.com, clouderamanager.venetian.com, clouderamanager-uat.venetian.com, cloudbuild.venetian.com, booking.venetian.com, booking.palazzo.com, book.venetian.com, book.palazzo.com, auth.venetian.com, auth.uat.venetian.com, auth.staging.venetian.com, auth.qa.venetian.com, archive.sands.com, not sands.com"
hpe.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://hpe.com/.well-known/security.txt"": EOF"
jnj.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://jnj.com/.well-known/security.txt"": x509: certificate has expired or is not yet valid: current time 2022-08-08T11:42:49+01:00 is after 2019-04-20T23:59:59Z"
investor.prudential.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
livenationentertainment.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://livenationentertainment.com/.well-known/security.txt"": x509: certificate has expired or is not yet valid: current time 2022-08-08T11:42:49+01:00 is after 2022-06-28T23:36:18Z"
chevron.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://chevron.com/.well-known/security.txt"": x509: certificate is valid for redirect.chevron.com, redirect.chevron.net, not chevron.com"
carnivalcorp.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://carnivalcorp.com/.well-known/security.txt"": x509: certificate is valid for secure.carnival.com, www.princesscruisesentertainment.com, www.goccl.com.au, www.goccl.com, www.goccl.co.uk, www.goccl.co.nz, www.gocarnival.co.uk, www.cclrose.com, www.carnivalplayersclub.com, www.carnivalmeetings.com, www.carnivalentertainment.com, www.carnival.com.au, www.carnival.com, www.carnival.co.uk, www.carnival.co.nz, www.bookccl.com, wmu02.carnival.com, win.carnival.com.au, View.trade.carnival.com, teambeta.carnival.com, team.carnival.com, static.carnivalcloud.com, secure4.uatcarnival.com, secure2.uatcarnival.com, secure.carnival.co.uk, sar.carnival.com, prodpreview.carnival.com.au, prodpreview.carnival.com, princesscruisesentertainment.com, payment.carnival.com.au, Pages.trade.carnival.com, myperformance.carnival.com, mydocuments.carnival.com, metric.carnival.com, m4.uatcarnival.com, m2.uatcarnival.com, m.carnival.com, legacy.carnivalentertainment.com, images.carnivalcloud.com, help.goccl.com, help.goccl.co.uk, help.carnival.com.au, guestportal.carnival.com, gocclau2.uatcarnival.com, gocclau1.uatcarnival.com, goccl.com.au, goccl.co.uk, goccl.co.nz, gocarnival.co.uk, gcocps.carnival.com, gateway.carnival.com, funpass.carnival.com, failover.carnival.com, embassy.carnival.com, dms4.uatcarnival.com, dms2.uatcarnival.com, dms.uatcarnival.com, dms.carnival.com, cruisetips.carnival.com.au, cruisedirectors.carnival.com, contractor.carnival.com, content.carnival.com.au, competition.carnival.com.au, cloud.carnival.com, Click.trade.carnival.com, cclrose.com, cbp.carnival.com, carnivalmeetings.com, carnivalentertainment.com, carnival.com.au, carnival.com, carnival.co.uk, brochureorder.goccl.com, booking.carnival.com.au, book.carnival.com.au, au.uatcarnival.com, aspectmobile.carnival.com, agentrewardsprogram.goccl.com, agency.carnival.com, 50cruisegiveaway.carnival.com, not carnivalcorp.com"
are.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://are.com/.well-known/security.txt"": x509: certificate signed by unknown authority"
churchdwight.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
abbvieinvestor.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://abbvieinvestor.com/.well-known/security.txt"": x509: certificate is valid for *.abbvie.com, abbvie.com, not abbvieinvestor.com"
twitter.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
nexteraenergy.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://nexteraenergy.com/.well-known/security.txt"": x509: certificate is valid for *.fpl.com, fpl.com, not nexteraenergy.com"
sbasite.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
linde.com,true,true,200,,,mailto:cybersecurity.contact@linde.com,,"Sun, 30 Apr 2028 00:00 -0700",,,en,
celanese.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://celanese.com/.well-known/security.txt"": x509: certificate signed by unknown authority"
airproducts.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://airproducts.com/.well-known/security.txt"": x509: certificate is valid for *.airproducts.com, not airproducts.com"
ibm.com,true,true,200,https://www.ibm.com/blogs/psirt/ibm-acknowledgement/,,"https://www.ibm.com/trust/security-psirt, https://hackerone.com/ibm?type=team, mailto:psirt@us.ibm.com",https://ibm.ent.box.com/s/gxyniavjpmqj6bnn3gsssirzbp6bmn8p,2022-09-08T12:00+0000,,,,
investor.ajg.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
globalpaymentsinc.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://globalpaymentsinc.com/.well-known/security.txt"": x509: certificate signed by unknown authority"
factset.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://factset.com/.well-known/security.txt"": EOF"
eogresources.com,false,false,200,,,,,,,,,Content-type (text/html) is not valid
essex.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://essex.com/.well-known/security.txt"": x509: certificate has expired or is not yet valid: current time 2022-08-08T11:42:49+01:00 is after 2016-09-24T16:27:54Z"
appliedmaterials.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://appliedmaterials.com/.well-known/security.txt"": x509: certificate has expired or is not yet valid: current time 2022-08-08T11:42:49+01:00 is after 2022-07-29T23:59:59Z"
oxy.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://oxy.com/.well-known/security.txt"": x509: certificate is valid for www.oxy.com, carbfree.org, carbfree.us, carbonfree.company, carbonfree.info, oxylowcarbon.com, risetozero.com, zeroin.com, zeroin.net, zeroin.us, zerointogether.com, zerointogether.net, zerointogether.org, zerointogether.us, www.carbfree.org, www.carbfree.us, www.carbonfree.company, www.carbonfree.info, www.oxylowcarbon.com, www.risetozero.com, www.zeroin.com, www.zeroin.net, www.zeroin.us, www.zerointogether.com, www.zerointogether.net, www.zerointogether.org, www.zerointogether.us, not oxy.com"
fiserv.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://fiserv.com/.well-known/security.txt"": x509: certificate signed by unknown authority"
tyson.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://tyson.com/.well-known/security.txt"": x509: certificate has expired or is not yet valid: current time 2022-08-08T11:42:49+01:00 is after 2022-05-12T18:32:21Z"
facebook.com,false,false,200,,,,,,,,,"Content-type (text/html; charset=""utf-8"") is not valid"
viatris.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://viatris.com/.well-known/security.txt"": x509: certificate is valid for 690055335-1.mylan.com, galen.viatris.com, www.paindetect.ee, www.viatris.fr, www.yupelrihcp.com, www.keeponbeating.com, www.morethanmedication.ca, www.paindetect.com.ua, www.paindetect.lt, www.paindetect.lv, www.silverpro.fr, www.viatris.co.za, www.viatris.de, www.viatris.no, www.viatrisuspublicpolicy.com, www.lyrica-navi.jp, www.viatris.tw, www.viatris.com.au, www.viatris.my, www.viatris.fi, www.viatris.ie, www.caduet.com, www.celebrex.com, www.detrolla.com, www.dilantin.com, www.effexorxr.com, www.geodon.com, www.kalitelisertlik.com, www.lipitor.com, www.norvasc.com, www.relpax.com, www.revatio.com, www.standup.com.hk, www.viagra.com, www.viagra.pl, www.viatris.com, www.viatrismiwebform.com, www.viatrispainstudy.com, www.xalatan.com, www.xanax.com, www.zoloft.com, www.toutsu.jp, not viatris.com"
newmont.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
expediagroup.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
americantower.com,false,false,200,,,,,,,,,Content-type (text/html) is not valid
norfolksouthern.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://norfolksouthern.com/.well-known/security.txt"": x509: certificate is valid for nscorp.com, www.nscorp.com, not norfolksouthern.com"
pseg.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://pseg.com/.well-known/security.txt"": x509: certificate signed by unknown authority"
investors.bestbuy.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
eversource.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://eversource.com/.well-known/security.txt"": x509: certificate signed by unknown authority"
zionsbancorporation.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
amd.com,false,false,200,,,,,,,,,Content-type (text/html; charset=UTF-8) is not valid
monsterbevcorp.com,false,false,404,,,,,,,,,https://monsterbevcorp.com/security.txt file may not exist - HTTP error code: 404
paycom.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
teleflex.com,false,false,300,,,,,,,,,https://teleflex.com/.well-known/security.txt file may not exist - HTTP error code: 300
eastman.com,false,false,500,,,,,,,,,https://www.eastman.com/.well-known/security.txt file may not exist - HTTP error code: 500
homedepot.com,false,false,403,,,,,,,,,https://www.homedepot.com/security.txt file may not exist - HTTP error code: 403
autozone.com,false,false,403,,,,,,,,,https://autozone.com/security.txt file may not exist - HTTP error code: 403
apacorp.com,false,false,404,,,,,,,,,https://apacorp.com/security.txt file may not exist - HTTP error code: 404
epam.com,false,false,200,,,,,,,,,Content-type (text/html;charset=utf-8) is not valid
uhsinc.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://uhsinc.com/.well-known/security.txt"": x509: certificate signed by unknown authority"
fortive.com,false,false,404,,,,,,,,,https://fortive.com/security.txt file may not exist - HTTP error code: 404
netflix.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
invesco.com,false,false,300,,,,,,,,,https://www.invesco.com/.well-known/security.txt file may not exist - HTTP error code: 300
costco.com,false,false,403,,,,,,,,,https://www.costco.com/security.txt file may not exist - HTTP error code: 403
servicenow.com,false,false,200,,,,,,,,,Content-type (application/json) is not valid
nclhltdinvestor.com,false,false,200,,,,,,,,,Content-type (text/html; charset=UTF-8) is not valid
drhorton.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://drhorton.com/.well-known/security.txt"": x509: certificate is valid for *.dnsmadeeasy.com, dnsmadeeasy.com, not drhorton.com"
activisionblizzard.com,false,false,200,,,,,,,,,Content-type (text/html) is not valid
mtch.com,false,false,404,,,,,,,,,https://mtch.com/security.txt file may not exist - HTTP error code: 404
akamai.com,true,true,200,,,mailto:security@akamai.com,https://www.akamai.com/us/en/multimedia/documents/infosec/akamai-security-general.pub,,,,,
