domain,is_file_found,is_file_valid,http_status,acknowledgments,canonical,contact,encryption,expires,hiring,policy,preferred_languages,errors
vi-cap.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://vi-cap.com/.well-known/security.txt"": dial tcp: lookup vi-cap.com on 1.1.1.1:53: no such host"
hlbvantisaudit.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://hlbvantisaudit.com/.well-known/security.txt"": dial tcp: lookup hlbvantisaudit.com on 1.1.1.1:53: no such host"
jrgonline.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://jrgonline.com/.well-known/security.txt"": EOF"
russellulyatt.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://russellulyatt.co.uk/.well-known/security.txt"": dial tcp: lookup russellulyatt.co.uk on 1.1.1.1:53: no such host"
esnpartnership.eu,false,false,0,,,,,,,,,"HTTP response error: Get ""https://esnpartnership.eu/.well-known/security.txt"": dial tcp: lookup esnpartnership.eu on 1.1.1.1:53: no such host"
hcrplc.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://hcrplc.com/.well-known/security.txt"": dial tcp: lookup hcrplc.com on 1.1.1.1:53: no such host"
mitchellgordon.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://mitchellgordon.co.uk/.well-known/security.txt"": dial tcp: lookup mitchellgordon.co.uk on 1.1.1.1:53: no such host"
howarthco.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://howarthco.com/.well-known/security.txt"": dial tcp: lookup howarthco.com on 1.1.1.1:53: no such host"
thecollegegroup.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://thecollegegroup.com/.well-known/security.txt"": dial tcp: lookup thecollegegroup.com on 1.1.1.1:53: no such host"
imcl.biz,false,false,0,,,,,,,,,"HTTP response error: Get ""https://imcl.biz/.well-known/security.txt"": dial tcp: lookup imcl.biz on 1.1.1.1:53: no such host"
euroccp.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://euroccp.co.uk/.well-known/security.txt"": dial tcp: lookup euroccp.co.uk on 1.1.1.1:53: no such host"
nurture-people.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://nurture-people.com/.well-known/security.txt"": dial tcp: lookup nurture-people.com on 1.1.1.1:53: no such host"
havelockhunter.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://havelockhunter.com/.well-known/security.txt"": dial tcp: lookup havelockhunter.com on 1.1.1.1:53: no such host"
bwainsurance.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://bwainsurance.co.uk/.well-known/security.txt"": dial tcp: lookup bwainsurance.co.uk on 1.1.1.1:53: no such host"
indigo-equity-research.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://indigo-equity-research.com/.well-known/security.txt"": dial tcp: lookup indigo-equity-research.com on 1.1.1.1:53: no such host"
garnerinternational.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://garnerinternational.com/.well-known/security.txt"": dial tcp: lookup garnerinternational.com on 1.1.1.1:53: no such host"
bankofbarodauk.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://bankofbarodauk.com/.well-known/security.txt"": dial tcp: lookup bankofbarodauk.com on 1.1.1.1:53: no such host"
richmangordons.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://richmangordons.com/.well-known/security.txt"": dial tcp: lookup richmangordons.com on 1.1.1.1:53: no such host"
ww.interimperformers.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://ww.interimperformers.com/.well-known/security.txt"": dial tcp: lookup ww.interimperformers.com on 1.1.1.1:53: no such host"
vinden.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://vinden.co.uk/.well-known/security.txt"": EOF"
market-dynamics.org.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://market-dynamics.org.uk/.well-known/security.txt"": dial tcp: lookup market-dynamics.org.uk on 1.1.1.1:53: no such host"
gkpolitical.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://gkpolitical.com/.well-known/security.txt"": EOF"
critchleys.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://critchleys.co.uk/.well-known/security.txt"": dial tcp: lookup critchleys.co.uk on 1.1.1.1:53: no such host"
aquaresourcesgroup.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://aquaresourcesgroup.com/.well-known/security.txt"": dial tcp: lookup aquaresourcesgroup.com on 1.1.1.1:53: no such host"
irvine-int.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://irvine-int.com/.well-known/security.txt"": dial tcp: lookup irvine-int.com on 1.1.1.1:53: no such host"
survivex.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://survivex.com/.well-known/security.txt"": dial tcp: lookup survivex.com on 1.1.1.1:53: no such host"
annuitydirect.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://annuitydirect.co.uk/.well-known/security.txt"": dial tcp: lookup annuitydirect.co.uk on 1.1.1.1:53: no such host"
anthemistalent.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://anthemistalent.com/.well-known/security.txt"": dial tcp: lookup anthemistalent.com on 1.1.1.1:53: no such host"
greenwicheurope.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://greenwicheurope.co.uk/.well-known/security.txt"": dial tcp: lookup greenwicheurope.co.uk on 1.1.1.1:53: no such host"
amropaugmentum.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://amropaugmentum.com/.well-known/security.txt"": dial tcp: lookup amropaugmentum.com on 1.1.1.1:53: no such host"
alil.co.im,false,false,0,,,,,,,,,"HTTP response error: Get ""https://alil.co.im/.well-known/security.txt"": dial tcp: lookup alil.co.im on 1.1.1.1:53: no such host"
scobanplc.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://scobanplc.com/.well-known/security.txt"": dial tcp: lookup scobanplc.com on 1.1.1.1:53: no such host"
freshminds.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://freshminds.co.uk/.well-known/security.txt"": dial tcp: lookup freshminds.co.uk on 1.1.1.1:53: no such host"
frontier-economics.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://frontier-economics.com/.well-known/security.txt"": dial tcp: lookup frontier-economics.com on 1.1.1.1:53: no such host"
nortonsgroup.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://nortonsgroup.com/.well-known/security.txt"": dial tcp: lookup nortonsgroup.com on 1.1.1.1:53: no such host"
a-list-equity.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://a-list-equity.co.uk/.well-known/security.txt"": dial tcp: lookup a-list-equity.co.uk on 1.1.1.1:53: no such host"
enterpriseaccelerator.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://enterpriseaccelerator.co.uk/.well-known/security.txt"": EOF"
globalcoal.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://globalcoal.com/.well-known/security.txt"": dial tcp: lookup globalcoal.com on 1.1.1.1:53: no such host"
ghanabank.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://ghanabank.co.uk/.well-known/security.txt"": dial tcp: lookup ghanabank.co.uk on 1.1.1.1:53: no such host"
westlb.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://westlb.com/.well-known/security.txt"": dial tcp: lookup westlb.com on 1.1.1.1:53: no such host"
exorgroup.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://exorgroup.co.uk/.well-known/security.txt"": dial tcp: lookup exorgroup.co.uk on 1.1.1.1:53: no such host"
khalijislamic.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://khalijislamic.com/.well-known/security.txt"": EOF"
governormoney.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://governormoney.com/.well-known/security.txt"": dial tcp: lookup governormoney.com on 1.1.1.1:53: no such host"
lhafinancial.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://lhafinancial.com/.well-known/security.txt"": remote error: tls: handshake failure"
bluerock-consulting.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://bluerock-consulting.com/.well-known/security.txt"": EOF"
7y.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://7y.co.uk/.well-known/security.txt"": EOF"
yorvikpartners.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://yorvikpartners.com/.well-known/security.txt"": EOF"
bbnfs.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://bbnfs.co.uk/.well-known/security.txt"": dial tcp: lookup bbnfs.co.uk on 1.1.1.1:53: no such host"
finlaygow.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://finlaygow.co.uk/.well-known/security.txt"": dial tcp: lookup finlaygow.co.uk on 1.1.1.1:53: no such host"
hydra-ahl.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://hydra-ahl.com/.well-known/security.txt"": dial tcp: lookup hydra-ahl.com on 1.1.1.1:53: no such host"
theadeptway.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://theadeptway.com/.well-known/security.txt"": dial tcp: lookup theadeptway.com on 1.1.1.1:53: no such host"
galileofs.co.im,false,false,0,,,,,,,,,"HTTP response error: Get ""https://galileofs.co.im/.well-known/security.txt"": dial tcp: lookup galileofs.co.im on 1.1.1.1:53: no such host"
cedar-tm.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://cedar-tm.com/.well-known/security.txt"": EOF"
sutherlandstrategy.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://sutherlandstrategy.co.uk/.well-known/security.txt"": dial tcp: lookup sutherlandstrategy.co.uk on 1.1.1.1:53: no such host"
